bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
650000,660000,655.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
660000,670000,665.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
670000,680000,675.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
680000,690000,685.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
690000,700000,695.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
700000,710000,705.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
710000,720000,715.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
720000,730000,725.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
730000,740000,735.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
740000,750000,745.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
750000,760000,755.0,0,0,0,0,0,76.8,76.8,0.0,76.8,0.0
760000,770000,765.0,0,0,0,0,0,219.2,219.2,0.0,219.2,0.0
770000,780000,775.0,0,0,0,0,0,275.2,275.2,0.0,275.2,0.0
780000,790000,785.0,0,0,0,0,0,440.0,440.0,0.0,440.0,0.0
790000,800000,795.0,0,0,0,0,0,572.8,572.8,0.0,572.8,0.0
800000,810000,805.0,0,0,0,0,0,566.4,566.4,0.0,566.4,0.0
810000,820000,815.0,0,0,0,0,0,984.0,984.0,0.0,984.0,0.0
820000,830000,825.0,0,0,0,0,0,873.6,873.6,0.0,873.6,0.0
830000,840000,835.0,0,0,0,0,0,977.6,977.6,0.0,977.6,0.0
840000,850000,845.0,0,0,0,0,0,1483.2,1483.2,0.0,1483.2,0.0
850000,860000,855.0,0,0,0,0,0,30.656,30.656,0.0,30.656,0.0
860000,870000,865.0,0,0,0,0,0,51.2,51.2,0.0,51.2,0.0
870000,880000,875.0,0,0,0,0,0,52.8,52.8,0.0,52.8,0.0
880000,890000,885.0,0,0,0,0,0,38.4,38.4,0.0,38.4,0.0
890000,900000,895.0,0,0,0,0,0,68.8,68.8,0.0,68.8,0.0
900000,910000,905.0,0,0,0,0,0,0.2304,0.2304,0.0,0.2304,0.0
910000,920000,915.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
920000,930000,925.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
930000,940000,935.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
940000,950000,945.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
950000,960000,955.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
960000,970000,965.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
970000,980000,975.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
980000,990000,985.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
