bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
8250000,8260000,8255.0,0,0,0,0,0,736.2304,0.0,0.0,0.0,736.2304
8260000,8270000,8265.0,0,0,0,0,0,735.3216,0.0,0.0,0.0,735.3216
8270000,8280000,8275.0,0,0,0,0,0,733.6384,0.0,0.0,0.0,733.6384
8280000,8290000,8285.0,0,0,0,0,0,734.6816,0.0,0.0,0.0,734.6816
8290000,8300000,8295.0,0,0,0,0,0,735.2128,0.0,0.0,0.0,735.2128
8300000,8310000,8305.0,0,0,0,0,0,733.856,0.0,0.0,0.0,733.856
8310000,8320000,8315.0,0,0,0,0,0,735.6608,0.0,0.0,0.0,735.6608
8320000,8330000,8325.0,0,0,0,0,0,734.0032,0.0,0.0,0.0,734.0032
8330000,8340000,8335.0,0,0,0,0,0,733.9776,0.0,0.0,0.0,733.9776
8340000,8350000,8345.0,0,0,0,0,0,735.6736,0.0,0.0,0.0,735.6736
8350000,8360000,8355.0,0,0,0,0,0,734.3424,0.0,0.0,0.0,734.3424
8360000,8370000,8365.0,0,0,0,0,0,733.8688,0.0,0.0,0.0,733.8688
8370000,8380000,8375.0,0,0,0,0,0,734.5856,0.0,0.0,0.0,734.5856
8380000,8390000,8385.0,0,0,0,0,0,733.8688,0.0,0.0,0.0,733.8688
8390000,8400000,8395.0,0,0,0,0,0,729.2544,0.0,0.0,0.0,729.2544
8400000,8410000,8405.0,0,0,0,0,0,690.56,0.0,0.0,0.0,690.56
8410000,8420000,8415.0,0,0,0,0,0,664.7424,0.0,0.0,0.0,664.7424
8420000,8430000,8425.0,0,0,0,0,0,647.2512,0.0,0.0,0.0,647.2512
8430000,8440000,8435.0,0,0,0,0,0,647.3856,0.0,0.0,0.0,647.3856
8440000,8450000,8445.0,0,0,0,0,0,648.7296,0.0,0.0,0.0,648.7296
8450000,8460000,8455.0,0,0,0,0,0,648.1984,0.0,0.0,0.0,648.1984
8460000,8470000,8465.0,0,0,0,0,0,645.9072,0.0,0.0,0.0,645.9072
8470000,8480000,8475.0,0,0,0,0,0,640.8064,0.0,0.0,0.0,640.8064
8480000,8490000,8485.0,0,0,0,0,0,611.0016,0.0,0.0,0.0,611.0016
8490000,8500000,8495.0,0,0,0,0,0,555.7632,0.0,0.0,0.0,555.7632
8500000,8510000,8505.0,0,0,0,0,0,531.1488,0.0,0.0,0.0,531.1488
8510000,8520000,8515.0,0,0,0,0,0,438.6048,0.0,0.0,0.0,438.6048
8520000,8530000,8525.0,0,0,0,0,0,285.4272,0.0,0.0,0.0,285.4272
8530000,8540000,8535.0,0,0,0,0,0,132.5248,0.0,0.0,0.0,132.5248
8540000,8550000,8545.0,0,0,0,0,0,96.0128,0.0,0.0,0.0,96.0128
8550000,8560000,8555.0,0,0,0,0,0,96.0384,0.0,0.0,0.0,96.0384
8560000,8570000,8565.0,0,0,0,0,0,68.2944,0.0,0.0,0.0,68.2944
