bin_start_ns,bin_end_ns,bin_mid_us,pause_events,resume_events,net_pause_events,active_paused_ports,ports_with_event,overall_cluster_throughput_gbps,pipeline_cluster_throughput_gbps,pipeline_hotspot_touch_cluster_throughput_gbps,pipeline_non_hotspot_cluster_throughput_gbps,alltoall_cluster_throughput_gbps
650000,660000,655.0,0,0,0,0,0,737.7152,13.7152,13.6,0.1152,724.0
660000,670000,665.0,0,0,0,0,0,736.8,12.8,12.8,0.0,724.0
670000,680000,675.0,0,0,0,0,0,737.6,12.8,12.8,0.0,724.8
680000,690000,685.0,0,0,0,0,0,736.8,12.8,12.8,0.0,724.0
690000,700000,695.0,0,0,0,0,0,737.6,12.8,12.8,0.0,724.8
700000,710000,705.0,0,0,0,0,0,737.6,12.8,12.8,0.0,724.8
710000,720000,715.0,0,0,0,0,0,737.6,12.8,12.8,0.0,724.8
720000,730000,725.0,0,0,0,0,0,736.8,12.8,12.8,0.0,724.0
730000,740000,735.0,0,0,0,0,0,736.0,12.8,12.8,0.0,723.2
740000,750000,745.0,0,0,0,0,0,736.8,12.8,12.8,0.0,724.0
750000,760000,755.0,0,0,0,0,0,792.0,78.4,23.2,55.2,713.6
760000,770000,765.0,0,0,0,0,0,900.0,192.8,32.8,160.0,707.2
770000,780000,775.0,0,0,0,0,0,938.4,233.6,34.4,199.2,704.8
780000,790000,785.0,0,0,0,0,0,1060.0,357.6,36.8,320.8,702.4
790000,800000,795.0,0,0,0,0,0,1155.2,461.6,46.4,415.2,693.6
800000,810000,805.0,0,0,0,0,0,1151.2,455.2,44.8,410.4,696.0
810000,820000,815.0,0,0,0,0,0,1457.6,763.2,46.4,716.8,694.4
820000,830000,825.0,0,0,0,0,0,1376.0,690.4,56.8,633.6,685.6
830000,840000,835.0,7,0,7,7,7,1452.8,772.0,60.0,712.0,680.8
840000,850000,845.0,0,3,-3,4,3,1504.0,1244.0,169.6,1074.4,260.0
850000,860000,855.0,0,4,-4,0,4,628.2496,50.6496,31.3152,19.3344,577.6
860000,870000,865.0,0,0,0,0,0,760.8,52.0,25.6,26.4,708.8
870000,880000,875.0,0,0,0,0,0,761.6,48.0,25.6,22.4,713.6
880000,890000,885.0,0,0,0,0,0,761.6,48.8,25.6,23.2,712.8
890000,900000,895.0,0,0,0,0,0,773.6,60.0,25.6,34.4,713.6
900000,910000,905.0,0,0,0,0,0,738.5152,25.7152,25.6,0.1152,712.8
910000,920000,915.0,0,0,0,0,0,739.2,25.6,25.6,0.0,713.6
920000,930000,925.0,0,0,0,0,0,738.4,24.8,24.8,0.0,713.6
930000,940000,935.0,0,0,0,0,0,736.8,25.6,25.6,0.0,711.2
940000,950000,945.0,0,0,0,0,0,739.2,25.6,25.6,0.0,713.6
